stop_id,stop_code,stop_name,stop_lat,stop_lon
389,"1084","Latonia & Gonser",36.432712,-119.687384
390,"1081","2nd & Excelsior",36.401249,-119.719712
391,"1082","Johnson & 1st",36.402142,-119.718831
393,"1083","1st & Excelsior",36.401302,-119.718464
414,"2101","Navy Exchange Center",36.260350,-119.911178
418,"2105","NAS Hospital West End",36.263702,-119.893827
420,"2103","Franklin @ McDonalds",36.263096,-119.900048
428,"2175","11th @ Cost Less",36.322375,-119.655290
429,"2177","11th & Davis",36.318224,-119.654885
431,"1211","Hanford Armona Road & Bennigton",36.313382,-119.788357
433,"1085","Dennis & Mt Whitney",36.431397,-119.693594
434,"1087","Murphy & Fatima",36.434605,-119.691519
435,"1088","Murphy & Gonser",36.434602,-119.688635
436,"1089","De Woody @ Post Office",36.434451,-119.685505
438,"1093","Fresno Fulton Mall",36.733655,-119.792982
439,"1094","Community Regional Center Northbound",36.741890,-119.783716
440,"1095","Fresno Veteran's Hospital",36.772629,-119.781453
445,"2001","Community Regional Center Southbound",36.741574,-119.784559
447,"2007","Douty & Malone",36.339343,-119.645955
448,"2011","Fargo & Carter Way",36.357329,-119.647512
449,"2014","11th & Fargo @ Church",36.356433,-119.655184
450,"2015","11th & Cortner",36.351433,-119.655172
451,"2016","11th & Jana Way",36.344979,-119.655185
452,"2019","11th @ Davita Dialysis",36.330648,-119.655288
454,"2021","7th & Douty",36.326658,-119.644942
455,"2022","7th & Brown",36.327078,-119.642180
456,"2023","7th & East",36.327621,-119.638679
457,"2029","10th & Leland Way",36.350301,-119.636904
458,"2030","10th & Birch",36.356115,-119.636871
459,"2031","Fargo @ Rite Aid",36.357402,-119.638368
461,"2043","Douty across Hanford High",36.345586,-119.646131
462,"2045","Douty across St. Brigid Church",36.335173,-119.646121
463,"2048","8th & Irwin",36.327436,-119.648099
464,"2051","Florinda & Kaweah",36.334837,-119.650728
466,"2055","Florinda & 10th",36.334809,-119.636214
467,"2059","9 1/4 @ King Garden Apartments",36.338668,-119.623570
468,"2060","9 1/4 & Elm",36.334204,-119.623537
473,"2067","7th @ United Market",36.327596,-119.639859
475,"2072","3rd & White",36.323348,-119.638849
476,"2073","3rd & Douty",36.322532,-119.644155
479,"2078","Home & 2nd Place",36.304083,-119.633618
480,"2079","Home & Shaw",36.304032,-119.631236
481,"2081","Garden Drive & Shaw",36.302678,-119.630196
482,"2082","Garden Drive & 2nd Place",36.302361,-119.633799
483,"2083","Garden Drive & 10th",36.302418,-119.636310
484,"2085","Hanford Armona Road @ Kings Rehab",36.313463,-119.638408
485,"2088","Irwin & Douty",36.316466,-119.645846
491,"2097","E Street @ Lemoore Depot",36.303002,-119.784944
493,"2099","Naval Air Station Exit",36.255740,-119.902288
496,"2102","Franklin @ Pedestrian Bridge",36.263049,-119.902175
497,"2112","Franklin @ Spuds",36.263123,-119.896872
501,"2114","Bush across  Kings River Apartments",36.298202,-119.805538
502,"2115","19th & Cypress",36.299940,-119.798683
503,"2117","Hanford Armona Road @ Goodwill",36.313334,-119.783354
504,"2118","Cinnamon & 18th",36.307121,-119.781911
505,"2120","Follett @ Lemoore Depot",36.303314,-119.783723
506,"2121","Liberty & Cinnamon",36.306264,-119.794185
507,"2122","Liberty & Fallenleaf",36.308644,-119.794177
508,"2123","Liberty & Hanford Armona Road",36.313000,-119.794174
509,"2124","Hanford Armona Road @ Country Club Apartments",36.313370,-119.778202
510,"2125","Hanford Armona Road across Park Place Apartments",36.313378,-119.774950
511,"2126","Hanford Armona Road & Cinnamon",36.313386,-119.769856
512,"2127","Hanford Armona Road @ Westberry Apartments",36.313359,-119.765368
513,"2128","Hanford Armona Road & 16th Eastbound",36.313424,-119.744308
514,"1011","Hanford Armona Road & 15th Westbound",36.313573,-119.726099
515,"2130","Front & Hanford Armona Road",36.314033,-119.717869
516,"2135","Lacey @ Hanford Mall",36.327950,-119.671654
518,"2140","11th @ DMV",36.312878,-119.655148
519,"2141","11th & Marconi",36.307938,-119.655110
520,"2146","Hanford Armona Road & 12th",36.313400,-119.672504
521,"2147","Hanford Armona Road @ Centennial Park",36.313388,-119.666454
522,"2148","Hanford Armona Road & 11 1/2 Avenue",36.313380,-119.663487
524,"2152","11th @ Amberwood Apartments",36.310250,-119.654863
525,"2153","11th & Hanford Armona Road",36.313911,-119.654881
526,"2156","7th @ Senior Villa Apartments",36.325129,-119.664642
527,"2157","7th & Reagan Way",36.325134,-119.661315
528,"2161","Grangeville & Rodgers",36.342748,-119.660382
529,"2163","Grangeville & Fitzgerald",36.342728,-119.669985
530,"2164","Grangeville & Vintage Avenue",36.342738,-119.678611
532,"2168","Shaw @ Home Garden Health Center",36.299898,-119.631319
534,"2172","11th @ KCAO Day Care",36.307657,-119.654841
536,"1015","Hanford Armona Road @  Park Place Apartments",36.313567,-119.774752
540,"1077","Visalia Transit Center",36.331861,-119.288234
541,"2119","Follett @ Cinnamon Villa Apartments",36.305856,-119.784415
542,"2162","Grangeville & University",36.342724,-119.665928
559,"4027","Mineral King @ Kaweah Delta Hospital",36.327491,-119.294484
560,"4000","Bush @ South Valley Church",36.298348,-119.797086
588,"4031","Centennial & West Merritt",36.335458,-119.680658
589,"4032","Centennial & Charlie Chambers",36.329885,-119.679318
590,"4033","9 1/4  & Hawthorn",36.329117,-119.623560
594,"4037","7th @ Medical Centers",36.325278,-119.657726
595,"4038","Kings County Court House",36.332873,-119.671444
597,"4039","12th @ Centennial Plaza",36.329389,-119.673079
598,"4040","Lacey @ Four Seasons Mobile Park",36.328139,-119.687701
599,"4041","COS & Sierra Pacific High School",36.333358,-119.690853
628,"1134","Bush @ Lemoore High School",36.298256,-119.778914
644,"4048","Bush @ Davita Dialysis",36.298190,-119.800718
649,"4061","5th @ FHCN",36.324487,-119.647044
653,"4063","Lacey @ Kings Eye Center",36.327946,-119.666163
656,"4065","Noble & Mooney Blvd (COS)",36.326488,-119.313461
658,"4073","Selma Kaiser - North",36.573035,-119.628589
659,"4074","Selma Kaiser - South",36.571912,-119.628915
667,"4087","10th Ave & Camino Ramon",36.307007,-119.637061
669,"4089","Fowler @ Valley Childrens",36.625658,-119.680363
670,"4088","Lacey @ Aldi's",36.327949,-119.674634
671,"4093","San Joaquin & North A Ave",36.007346,-120.138837
673,"4094","14th Avenue Across Armona Fire Station",36.309797,-119.709208
674,"4095","Hume & Monterey",36.305724,-119.667398
675,"4096","7th & Brown",36.327225,-119.642284
